pattern_name,sale_type,repeat_width_inches,repeat_height_inches,material_width_inches,panel_sequence,available_lengths_feet,pattern_match,min_yard_order,repeat_url,sku,product_tearsheet_url,product_page_url,360_view_url,description
Lichen in Alder,panel,52,52,52,A,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/LN02.jpg,LN02,cdn.shopify.com/s/files/1/0571/8700/8610/files/FayeBell-Lichen-Alder-LN02-Tearsheet.pdf?v=1742310513,https://fayebell.com/products/lichen-in-alder,,
Lichen in Birch,panel,52,52,52,A,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/LN01.jpg,LN01,cdn.shopify.com/s/files/1/0571/8700/8610/files/FayeBell-Lichen-Birch-LN01-Tearsheet.pdf?v=1742310514,https://fayebell.com/products/lichen-in-birch,,
Lichen in Cedar,panel,52,52,52,A,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/LN03.jpg,LN03,cdn.shopify.com/s/files/1/0571/8700/8610/files/FayeBell-Lichen-Cedar-LN03-Tearsheet.pdf?v=1742310514,https://fayebell.com/products/lichen-in-cedar,,
Lichen in Oak,panel,52,52,52,A,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/LN05.jpg,LN05,cdn.shopify.com/s/files/1/0571/8700/8610/files/FayeBell-Lichen-Oak-LN05-Tearsheet.pdf?v=1742310514,https://fayebell.com/products/lichen-in-oak,,
Lichen in Willow,panel,52,52,52,A,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/LN04.jpg,LN04,cdn.shopify.com/s/files/1/0571/8700/8610/files/FayeBell-Lichen-Willow-LN04-Tearsheet.pdf?v=1742310514,https://fayebell.com/products/lichen-in-willow,,
Midnight Sound,panel,110.25,154.13,27.5,ABCD,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/SD04.2.png,SD04.3,cdn.shopify.com/s/files/1/0571/8700/8610/files/Sound-Midnight-SD04.3-Tearsheet.pdf?v=1778173138,https://fayebell.com/products/midnight-sound,https://panoraven.com/en/embed/YFvIuV4yts,
Morning Mist,panel,110.25,none,27.5,ABCD,"9,12",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/MST01.jpg,MST01.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Mist-Morning-MST01.3-Tearsheet.pdf?v=1778173136,https://fayebell.com/products/morning-mist,https://panoraven.com/en/embed/YfDiEg3vJ9,
Ocean Mist,panel,110.25,none,27.5,ABCD,"9,12",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/MST02.jpg,MST02.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Mist-Ocean-MST02.3-Tearsheet.pdf?v=1778173137,https://fayebell.com/products/ocean-mist,https://panoraven.com/en/embed/DsKYrCbsD7,
Pacific Surf,panel,110.25,none,27.5,ABCEFG,"9,12",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/SRF01.jpg,SRF01.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Surf-Pacific-SRF01.2-Tearsheet.pdf?v=1778173139,https://fayebell.com/products/pacific-surf,https://panoraven.com/en/embed/g23mMXpjxh,
Pastel Sound,panel,110.25,151,27.5,ABCD,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/SD01.2.png,SD01.3,cdn.shopify.com/s/files/1/0571/8700/8610/files/Sound-Pastel-SD01.3-Tearsheet.pdf?v=1778173138,https://fayebell.com/products/pastel-sound,https://panoraven.com/en/embed/Uchnn2MSIh,
Rattan in Greige,yard,5.5,7.75,27.5,,,straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/RATT04.png,RATT04.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Rattan-Greige-RATT04.2-Tearsheet.pdf?v=1778173142,https://fayebell.com/products/rattan-in-greige,https://panoraven.com/en/embed/TUn0EWlbuW,
Rattan in Kelly,yard,5.5,7.75,27.5,,,straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/RATT06.png,RATT06.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Rattan-Kelly-RATT06.2-Tearsheet.pdf?v=1778173143,https://fayebell.com/products/rattan-in-kelly,https://panoraven.com/en/embed/SZ5tOA3F0l,
Rattan in Navy,yard,5.5,7.75,27.5,,,straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/RATT03.png,RATT03.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Rattan-Navy-RATT03.2-Tearsheet.pdf?v=1778173143,https://fayebell.com/products/rattan-in-navy,https://panoraven.com/en/embed/hNcFEhMYzK,
Rattan in Roseate,yard,5.5,7.75,27.5,,,straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/RATT07.png,RATT07.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Rattan-Roseate-RATT07.2-Tearsheet.pdf?v=1778173143,https://fayebell.com/products/rattan-in-roseate,https://panoraven.com/en/embed/7gzqeX40Fz,
Rosewood Sound,panel,110.25,154.13,27.5,ABCD,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/SD15.png,SD15.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Sound-Rosewood-SD15.2-Tearsheet.pdf?v=1778173138,https://fayebell.com/products/rosewood-sound,https://panoraven.com/en/embed/HS4Pzna2tR,
Spring Moon,panel,110.25,none,27.5,ABCD,"9,12,15",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/MN04.jpg,MN04.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Moon-Spring-MN04.2-Tearsheet.pdf?v=1778173139,https://fayebell.com/products/spring-moon,https://panoraven.com/en/embed/fBLPB6Z6RT,
Tropic Surf,panel,110.25,none,27.5,ABCDEF,"9,12",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/SRF02.jpg,SRF02.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Surf-Tropic-SRF02.2-Tearsheet.pdf?v=1778173140,https://fayebell.com/products/tropic-surf,https://panoraven.com/en/embed/uoCbxQqKHF,
Twilight Sound,panel,110.25,154.13,27.5,ABCD,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/SD02.2.png,SD02.3,cdn.shopify.com/s/files/1/0571/8700/8610/files/Sound-Twilight-SD02.3-Tearsheet.pdf?v=1778173138,https://fayebell.com/products/twilight-sound,https://panoraven.com/en/embed/lXO08QoERF,
Verdant Sound,panel,110.25,154.13,27.5,ABCD,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/SD10.png,SD10.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Sound-Verdant-SD10.2-Tearsheet.pdf?v=1778173139,https://fayebell.com/products/verdant-sound,https://panoraven.com/en/embed/EGZy4dvyAj,
Winter Moon,panel,110.25,none,27.5,ABCD,"9,12,15",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/MN01.jpg,MN01.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Moon-Winter-MN01.2-Tearsheet.pdf?v=1778173138,https://fayebell.com/products/winter-moon,https://panoraven.com/en/embed/FDk0N6BdpI,
